Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Атрощенко,Богданна,Іванівна,Жіноча,03.08.1995,Астроном,хутір Географія Вільнянська,"парк Воронцовський, буд. 83 кв. 45, Дунаївці, 99865",060 136 66 87,savenkomariana@example.net
Іванченко,Роксолана,Дмитрівна,Жіноча,14.11.1972,Піаніст,хутір Вилкове,"вулиця Елеваторна, буд. 697, Сновськ, 64309",+380 06 733 72 77,stanislav90@example.net
Чарниш,Клавдія,Олександрівна,Жіноча,28.06.1945,Кіноактор,село Пирятин,"шосе Івахненка Петра, буд. 02 кв. 540, Збараж, 85067",+380 29 875 32 81,ielysei83@example.com
Вахній,Камілла,Дмитрівна,Жіноча,03.07.1971,Кіноактор,селище Валки ,"парк Катерининська, буд. 6 кв. 454, Запоріжжя, 49150",+380 44 018-81-50,ddziuba@example.com
Вовк,Людмила,Михайлівна,Жіноча,29.01.1985,Фольклорист,селище Попасна,"шосе Водопровідний 1-й, буд. 141, Люботин, 67892",356-66-90,rvanchenko@example.com
Жарко,Ганна,Федорівна,Жіноча,24.05.1954,Дерун,хутір Мостиська,"площа Лінія 27-ма, буд. 34 кв. 3, Святогірськ, 07154",523-67-60,ysheremet@example.org
Шило,Ірена,Дмитрівна,Жіноча,04.05.2002,Маркетолог,селище Яремче,"набережна Виставочна, буд. 322 кв. 8, Новий Буг, 18801",+380 40 730-62-66,liliia65@example.org
Медведенко,Орися,Сергіївна,Жіноча,27.03.1938,Лікар,село Сторожинець,"парк Академіка Воробйова, буд. 716, Чугуїв, 34711",+380 97 811-96-77,iukhymdavymuka@example.com
Ковалюк,Ярослава,Федорівна,Жіноча,15.09.1990,Письменник,селище Баранівка,"шосе Люстдорфський, буд. 3 кв. 3, Южне, 52311",+380 84 643-94-76,varvarakarpa@example.net
Власенко,Вікторія,Дмитрівна,Жіноча,25.06.1940,Дипломат,хутір Світлодарськ,"шосе Угорська, буд. 018, Червоносів, 19945",618 77 99,frankomykhailyna@example.org
Адаменко,Аніта,Олександрівна,Жіноча,04.09.1957,Єгер,місто Гнівань,"провулок Костанді 3-й, буд. 44, Маріуполь, 97876",071 347 63 38,roman05@example.net
Батіг,Варвара,Сергіївна,Жіноча,20.11.1947,Музикант,місто Антрацит ,"провулок Грибоєдова, буд. 896, Герца, 64084",088 51 25,iefremsalii@example.net
Артим,Камілла,Петрівна,Жіноча,28.11.1937,Прокурор,місто Переяслав,"шосе Мусіна, буд. 06, Бершадь, 51909",099 918 36 18,eduardzhadan@example.net
Харченко,Віра,Олександрівна,Жіноча,03.01.2007,Фольклорист,село Валки ,"вулиця Єліна, буд. 820, Краматорськ, 99426",054 206-75-03,mykhailynahavriushenko@example.org
Гавриш,Святослава,Дмитрівна,Жіноча,30.05.1989,Режисер,місто Перевальськ,"сквер Богдана Хмельницького, буд. 18, Липовець, 69270",+380 55 729-87-84,zakhargerus@example.org
Кармалюк,Емілія,Дмитрівна,Жіноча,29.05.1994,Кінорежисер,село Привілля,"сквер Подільська, буд. 1 кв. 7, Кіцмань, 38892",916-08-64,iaroslav61@example.com
Данькевич,Ольга,Федорівна,Жіноча,16.04.2006,Фольклорист,місто Часів Яр,"сквер Житомирська, буд. 47 кв. 8, Маріуполь, 75247",371-19-11,heorhiishynkarenko@example.org
Чумак,Ада,Вікторівна,Жіноча,22.02.1975,Гінеколог,село Київ,"площа Павла Кравцова, буд. 526 кв. 229, Підгайці, 92665",+380 (77) 258-01-53,avakulenko@example.net
Височан,Роксолана,Петрівна,Жіноча,14.06.1982,Соціолог,місто Чугуїв,"шосе Академіка Заболотного, буд. 61, Гола Пристань, 91362",998 99 60,bopanasenko@example.org
Рябовіл,Оксана,Петрівна,Жіноча,05.12.1979,Правник,селище Белз,"вулиця Софіївська, буд. 94 кв. 871, Соледар, 78962",565-92-42,chavriushenko@example.org
Худяк,Тереза,Петрівна,Жіноча,12.05.2005,Гицель,село Сновськ,"сквер Бузковий, буд. 79 кв. 54, Баштанка, 68916",+380 13 481 36 79,lukianhodunok@example.com
Остапчук,Амалія,Олександрівна,Жіноча,03.12.1976,Кур'єр,селище Василівка ,"узвіз Об'їзна дорога, буд. 59, Новоукраїнка, 77341",200-56-96,ssliusar@example.net
Бевзенко,Дарина,Іванівна,Жіноча,07.04.1993,Епідеміолог,місто Феодосія,"площа Десятого квітня, буд. 8, Сміла, 22542",069 564 24 95,ihor83@example.net
Щербак,Варвара,Андріївна,Жіноча,13.03.1945,Художник,місто Василівка ,"вулиця Вітчизняна, буд. 740, Ходорів, 49410",077 909 22 23,mdeineka@example.org
Абрагамовський,Ганна,Андріївна,Жіноча,01.01.1996,М'ясник,село Алчевськ,"вулиця Десята, буд. 322, Білгород-Дністровський, 81444",036 726-20-14,ktsymbal@example.com
Дергач,Мілена,Петрівна,Жіноча,03.06.1970,Прокурор,селище Єнакієве,"провулок Умова, буд. 2 кв. 086, Вільнянськ, 71605",+380 24 052-94-35,okhrymovychvasyl@example.org
Шаповал,Орина,Михайлівна,Жіноча,02.02.1952,Кушнір,місто Валки ,"шосе Данькевича, буд. 618 кв. 7, Ізяслав, 23940",099 572 49 91,panas22@example.org
Гаврилишин,Клавдія,Михайлівна,Жіноча,23.11.1997,Архітектор,місто Перевальськ,"сквер 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 5, Сімферополь, 97345",+380 (31) 267-79-71,pavlo69@example.org
Девдюк,Ганна,Андріївна,Жіноча,20.11.1978,Хімік,хутір Генічеськ,"вулиця Уральський, буд. 631, Жданівка, 24087",019 857-41-97,feofan83@example.net
Оліфіренко,Ярина,Андріївна,Жіноча,11.03.2008,Льотчик,село Борзна,"вулиця Розумовський 2-й, буд. 6, Стрий, 13180",+380 (84) 617-49-86,dandanyliuk@example.net
Ґерета,Мілена,Петрівна,Жіноча,04.12.1941,Пекар,село Оріхів,"набережна Юхима Фесенка, буд. 6, Дергачі, 33118",014 470-74-41,petliuraolena@example.com
Акуленко,Ада,Федорівна,Жіноча,12.07.1959,Ботанік,хутір Дергачі,"вулиця Бригадна, буд. 964 кв. 40, Борщів, 84973",+380 04 252 17 09,hohol-ianovskyiaaron@example.org
Сич,Софія,Олександрівна,Жіноча,16.05.1952,Клавішник,село Хрустальний,"шосе Виїзна, буд. 370, Попасна, 61571",+380 80 577 56 02,zvashchuk@example.net
Наливайко,Камілла,Федорівна,Жіноча,30.03.1950,Гицель,селище Новий Розділ,"набережна Ватманський, буд. 7 кв. 112, Переяслав, 10545",+380 56 700-65-02,odarkaandriishyn@example.org
Хорішко,Варвара,Дмитрівна,Жіноча,26.03.1976,Бібліотекар,село Угнів,"вулиця Скидановський узвіз, буд. 7 кв. 32, Броди, 07109",029 241 89 28,fesenkonataliia@example.net
Теліженко,Надія,Володимирівна,Жіноча,26.02.1974,Ді-джей,хутір Бобровиця,"узвіз Тимірязєва 5-й, буд. 823, Гола Пристань, 26966",082 677-49-53,khudiakiustyna@example.org
Дробʼязко,Сніжана,Сергіївна,Жіноча,01.09.1989,Електромонтажник,село Чистякове,"шосе Космонавтів, буд. 2 кв. 2, Бахчисарай, 44150",933-36-17,venhrynovychanzhela@example.net
Харченко,Дарина,Дмитрівна,Жіноча,15.01.1951,Геофізик,селище Сторожинець,"шосе Ковиловий, буд. 2, Приморськ (Україна), 48465",+380 73 567 45 47,varfolomiichmil@example.net
Ємець,Ганна,Володимирівна,Жіноча,09.03.1964,Кухар,місто Корець,"вулиця Маяковського, буд. 22, Дунаївці, 14946",+380 25 228-56-92,jlavrenko@example.org
Юрчук,Анжела,Володимирівна,Жіноча,01.03.1980,Електрик,селище Чернігів,"провулок Мацієвської, буд. 14 кв. 107, Збараж, 23777",+380 (88) 968-10-69,kabanenkorostyslav@example.org
Редько,Єва,Вікторівна,Жіноча,08.10.1958,Маркетолог,селище Довжанськ,"площа Єрмака, буд. 34, Сніжне, 48570",+380 (18) 060-85-01,artemsahal@example.com
Засенко,Єва,Петрівна,Жіноча,13.05.1967,Агроном,село Погребище,"набережна Рішельєвська, буд. 14 кв. 7, Пирятин, 11616",+380 07 426-77-68,andriichukivan@example.com
